Step,Scaffold,SMILES,bioactivity,raw_bioactivity,total_score,ID
99.0,c1ccc(C2CC(N3CCNC3)c3cc(CCCN4CCNCC4)ccc32)cc1,CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(CCCN4CCN(CCO)CC4)cc32)C1,1.0,1.0,1.0,fine-tune predictive component_0
46.0,c1ccc(C2CC(N3CCC(N4CCNCC4)CC3)c3cc(C4CC4)ccc32)cc1,OCCN1CCN(C2CCN(C3CC(c4ccc(F)cc4)c4ccc(C5CC5C(O)=NO)cc43)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_1
87.0,O=C1NCCCC1N1CCN(C2CC(c3ccccc3)c3ccc(C4=CCN(CCN5CCNCC5)CC4)cc32)CC1,O=C1C(N2CCN(C3CC(c4ccc(F)cc4)c4ccc(C5=CCN(CCN6CCN(CCO)CC6)CC5)cc43)CC2)CCCN1CCO,1.0,1.0,1.0,fine-tune predictive component_2
46.0,c1ccc(C2CC(N3CCN(C4CCC(N5CCNCC5)CC4)CC3)c3cc(N4CCNCC4)ccc32)cc1,OCCC1CN(C2CC(c3ccc(F)cc3)c3ccc(N4CCN(CCO)CC4)cc32)CCN1C1CCC(N2CCN(CCO)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_3
46.0,O=C(OCCC1CN(C2CC(c3ccccc3)c3ccccc32)CCN1Cc1ccc2c(c1)OCO2)C1(CNCC2(N3CCNCC3)CC2)CCCCC1,O=C(OCCC1CN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CCN1Cc1ccc2c(c1)OCO2)C1(CNCC2(N3CCN(CCO)CC3)CC2)CCCCC1,1.0,1.0,1.0,fine-tune predictive component_4
46.0,c1ccc(C2CC(N3CCN(C4CC4)C(CN4CCNCC4)C3)c3cc(C4CC4)ccc32)cc1,OCCN1CCN(CC2CN(C3CC(c4ccc(F)cc4)c4ccc(C5CC5)cc43)CCN2C2CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_5
87.0,c1ccc(C2CC(N3CCN(C4CCC(N5CCN(C6CCNCC6)CC5)CC4)CC3)c3ccccc32)cc1,OCCC1CC(N2CCN(C3CCN(CCO)CC3)CC2)CCC1N1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_6
46.0,c1ccc(C2CC(N3CCN(CC(CCN4CCN(C5CCC(N6CCNCC6)C5)CC4)N4CCN(C5CC(c6ccccc6)c6ccccc65)CC4)CC3)c3ccccc32)cc1,OCCN1CCN(C2CCC(N3CCN(CCC(CN4CCN(C5CC(c6ccc(F)cc6)c6ccc(F)cc65)CC4)N4CCN(C5CC(c6ccc(F)cc6)c6ccc(Cl)cc65)CC4)CC3)C2)CC1,1.0,1.0,1.0,fine-tune predictive component_7
46.0,c1ccc(C2CC(N3CCN(C4CCCCC4NC4CCC(N5CCNCC5)CC4)CC3)c3ccccc32)cc1,CN(C1CCC(N2CCN(CCO)CC2)CC1)C1CCCCC1N1CCN(C2CC(c3ccc(F)cc3)c3ccc(Br)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_8
46.0,O=C(C1CN(C2CCN(C3CC(c4ccccc4)c4ccccc43)CC2CCN2CCNCC2)CCN1C1CC(c2ccccc2)c2ccccc21)N1CCN(C2CCNCC2)CC1,O=C(C1CN(C2CCN(C3CC(c4ccc(F)cc4)c4ccc(F)cc43)CC2CCN2CCN(CCO)CC2)CCN1C1CC(c2ccc(F)cc2)c2ccc(F)cc21)N1CCN(C2CCN(CCO)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_9
46.0,c1ccc(C2CC(N3CCN(C4CCN(C5CCNCC5)CC4)CC3)c3cc(N4CCNCC4)ccc32)cc1,CC1(N2CCN(C3CC(c4ccc(F)cc4)c4ccc(N5CCNCC5)cc43)CC2)CCN(C2CCN(CCO)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_10
46.0,c1ccc(C2CC(N3CCC(N4CCN(C5CC(c6ccccc6)c6ccccc65)C(CCN5CCNCC5)C4)CC3)c3ccccc32)cc1,OCCN1CCN(CCC2CN(C3CCN(C4CC(c5ccc(F)cc5)c5cc(F)ccc54)CC3)CCN2C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_11
87.0,O=C1NCCCC1C(CN1CCN(C2CC(c3ccccc3)c3ccccc32)CC1N1CCNCC1)NS(=O)(=O)c1ccccc1,O=C1NCCCC1C(CN1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1N1CCN(CCO)CC1)NS(=O)(=O)c1cc(Cl)cc(Cl)c1,1.0,1.0,1.0,fine-tune predictive component_12
87.0,c1ccc(C2CC(N3CCN(CCN4CCNCC4)CC3)c3ccccc32)cc1,OCCC1CN(C2CC(c3ccc(F)cc3)c3cc(F)ccc32)CCN1CCN1CCN(CCO)CC1,1.0,1.0,1.0,fine-tune predictive component_13
46.0,c1ccc(C2CC(N3CCN(C4CCN(C5CCc6ccccc65)CC4)CC3CC3CCCN3CCC3CCNCC3)c3ccccc32)cc1,OCCN1CCC(CCN2CCCC2CC2CN(C3CCN(C4CCc5c(Cl)ccc(Cl)c54)CC3)CCN2C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_14
87.0,c1ccc(C2CC(N3CCN(C(CCN4CCN(CCN5CCN(C6CCCCCC6)CC5)CC4)CN4CCNCC4)CC3)c3ccccc32)cc1,OCCN1CCN(CC(CCN2CCN(CCN3CCN(C4CCCCCC4)CC3)CC2)N2CCN(C3CC(c4ccc(F)cc4)c4ccc(Cl)cc43)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_15
87.0,N=C1C(N2CCNCC2)CCC1N1CCN(C2CC(c3ccccc3)c3ccccc32)C1CN1CCNCC1,O=[N+]([O-])N=C1C(N2CCN(CCO)CC2)CCC1N1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)C1CN1CCN(CCO)CC1,1.0,1.0,1.0,fine-tune predictive component_16
46.0,c1ccc(C2CC(N3CCN(CC4CCCN4C4CCNCC4)CC3)c3ccccc32)cc1,COCC1CN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CCN1CC1CCCN1C1CCN(CCO)CC1,1.0,1.0,1.0,fine-tune predictive component_17
87.0,c1ccc(C2CC(N3CCC(N4CCNCC4)C3)c3cc(C4CNC4)ccc32)cc1,OCCN1CCN(C2CCN(C3CC(c4ccc(F)cc4)c4ccc(C5CN(CCO)C5)cc43)C2)CC1,1.0,1.0,1.0,fine-tune predictive component_18
46.0,c1ccc(C2CC(N3CCC(N4CCNCC4)CC3)c3cc(OCCN4CCOCC4)ccc32)cc1,OCCN1CCN(C2CCN(C3CC(c4ccc(F)cc4)c4ccc(OCCN5CCOCC5)cc43)C(CO)C2)CC1,1.0,1.0,1.0,fine-tune predictive component_19
46.0,c1ccc(C2CC(N3CCN(C4c5ccccc5CCC4N4CCNCC4)CC3)c3ccccc32)cc1,OCCN1CCN(C2CCc3c(C(F)(F)F)ccc(F)c3C2N2CCN(C3CC(c4ccc(F)cc4)c4ccc(F)cc43)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_20
87.0,O=C(C1CC1)N1CC(CN2CCNCC2)C(N2CCN(C3CC(c4ccccc4)c4ccccc43)CC2)C1,O=C(N1CC(CN2CCN(CCO)CC2)C(N2CCN(C3CC(c4ccc(F)cc4)c4ccc(F)cc43)CC2)C1)C1(O)CC1,1.0,1.0,1.0,fine-tune predictive component_21
46.0,O=C(C1CN(CC2CNCCO2)CCN1C1CC(c2ccccc2)c2ccccc21)N1CCN(C2CCNCC2)CC1,O=C(C1CN(CC2CN(CCO)CCO2)CCN1C1CC(c2ccc(F)cc2)c2ccc(F)cc21)N1CCN(C2CCN(CCO)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_22
