,smiles,score,likelihood
0,N1(C2CC(c3ccc(F)cc3)c3ccc(OCC4CCN(S(c5ccccc5)(=O)=O)CC4)cc32)CCN(CCO)CC1,1.0,-45.539757
56,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4C(c5ccc(OC(F)(F)F)cc5)C4)C)cc32)CCN(CCO)CC1,1.0,-52.16152
75,N1(C2CC(c3ccc(F)cc3)c3ccc(C(c4c(Cl)cccc4Cl)=O)cc32)CCN(CCO)CC1,1.0,-38.805317
74,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCC([S+]([O-])c5ccc(C(C)(C)C)cc5)CC4)=O)cc32)CCN(CCO)CC1,1.0,-48.745514
73,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C(CO)C5CCOCC5)CC4)=O)cc32)CCN(CCO)CC1,1.0,-41.3358
72,N1(C2CC(c3ccc(F)cc3)c3ccc(CN4CCC5(CC4)N(CCCC)C(=O)CN5)cc32)CCN(CCO)CC1,1.0,-45.055313
69,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C(C)C)CC4)(C)C(=O)N(C)C)cc32)CCN(CCO)CC1,1.0,-50.389458
68,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C(CCN(C5CCC5)CC(F)(F)F)C)CC4)=O)cc32)CCN(CCO)CC1,1.0,-57.82346
67,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(S(=O)(c5ccncc5)=O)CC4)(C)C)cc32)CCN(CCO)CC1,1.0,-52.76199
66,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C(C(N5CCN(C(=O)C)CC5)C)C)CC4)=O)cc32)CCN(CCO)CC1,1.0,-57.623875
63,N1(C2CC(c3ccc(F)cc3)c3ccc(CN(c4ncc(C)c(C(F)(F)F)n4)C4CC4)cc32)CCN(CCO)CC1,1.0,-53.59724
61,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C(=O)C)CC4)(C)CC4N(C(C)C)CCN(C(CC)=O)C4)cc32)CCN(CCO)C1,1.0,-67.35697
60,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C(CC(F)(F)F)C)CC4)c4ccc(F)cc4)cc32)CCN(CCO)CC1,1.0,-51.86361
59,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCN(C5CC(C(=O)N)C5)CC4)C)cc32)CCN(CCO)CC1,1.0,-54.000435
55,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4(N5CCOCC5)CO4)C)cc32)CCN(CCO)CC1,1.0,-50.760937
77,N1(C2CC(c3ccc(F)cc3)c3ccc(C(C4CCCN4S(=O)(=O)c4cc(F)ccc4)C4CC(F)(F)C4)cc32)CCN(CCO)CC1,1.0,-55.04597
58,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(C4CC4)C4CCC(n5c(O)cc6c5ccc(F)c6)CC4)cc32)CCN(CCO)CC1,1.0,-62.77885
53,N1(C2CC(c3ccc(F)cc3)c3ccc(CN(C4CC(CC)N(CC(F)(F)F)CC4)C(=O)CC)cc32)CCN(CCO)CC1,1.0,-52.78534
52,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(C4CN(C(C5OCCC5)=O)C4)O)cc32)CCN(CCO)CC1,1.0,-55.224815
51,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(C4CN(C(=O)C5CCOCC5)CC4)C)cc32)CCN(CCO)CC1,1.0,-53.21082
