,smiles,score,likelihood
75,N1(C2CC(c3ccc(F)cc3)c3ccc(C)cc32)CCN(CCO)CC1,1.0,-20.606092
0,C1N(C2CC(c3ccc(F)cc3)c3ccc(S(=O)(C4CC4)=O)cc32)CCN(CCO)C1,1.0,-35.351242
27,N1(C2CC(c3ccc(F)cc3)c3ccc(N(C)C)cc32)CCN(CCO)CC1,1.0,-28.048252
42,C1CN(C2CC(c3ccc(F)cc3)c3c2ccc(C)c3)CCN1CCO,1.0,-21.952173
11,C1N(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CCN(CCO)C1,1.0,-19.151854
61,N1(C2CC(c3ccc(F)cc3)c3ccc(O)cc32)CCN(CCO)CC1,1.0,-24.065216
9,N1(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CCN(CCO)CCC1,1.0,-27.788216
54,C1N(C2CC(c3ccc(F)cc3)c3c2ccc(Cl)c3)CCN(CCO)C1,1.0,-19.314045
11,C1N(C2CC(c3ccc(F)cc3)c3ccc(S(=O)(=O)C)cc32)CCN(CCO)C1,1.0,-29.373062
102,c1(O)c(C(NCC2N(CC)CCC2)=O)c(OC)cc(OC)c1,1.0,-20.086304
80,C1CN(C2CC(c3ccc(F)cc3)c3c2ccc(F)c3)CCN1CCO,1.0,-19.948832
95,C1N(C2CC(c3ccc(F)cc3)c3ccc(C(N4CCN(C)CC4)=O)cc32)CCN(CCO)C1,1.0,-32.98207
84,N1(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CCN(CCO)CC1,1.0,-22.35125
116,C1N(C2CC(c3ccc(F)cc3)c3ccc(Oc4ccccc4)cc32)CCN(CCO)C1,1.0,-33.02115
75,C1N(C2CC(c3ccc(F)cc3)c3ccc(O)cc32)CCN(C2CC2)CC1,0.9,-30.041666
125,C1N(C2CC(c3ccc(F)cc3)c3c2ccc(OC)c3)CCN(CCO)C1,0.9,-22.151058
53,C1N(C2CC(c3ccc(F)cc3)c3ccc(OC)cc32)CCN(C2CC2)CC1,0.9,-29.432487
54,C1N(C2CC(c3ccc(F)cc3)c3ccc(OC)cc32)CCN(C2CCC2)CC1,0.9,-29.51099
5,C1N(C2CC(c3ccc(F)cc3)c3ccc(C)cc32)CCN(C2CCC2)CC1,0.9,-27.954695
16,C1CCN(C2CC(c3ccc(F)cc3)c3ccc(N(C)C)cc32)CCN1C(=O)c1ccc(OC)cc1,0.9,-38.41294
