,smiles,score,likelihood
21,C1N(C2CC(c3ccc(F)cc3)c3ccc(Cl)c(C)c32)CCN(CCO)C1,1.0,-24.135286
91,C1N(C2CC(c3ccc(C)cc3)c3ccc(OCCN4CSCC4)cc32)CCN(C(CC)C)CC1,1.0,-52.246483
117,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4C(CO)CN(CCN5CCOC5=O)CC4)cc32)CCC12COCC2,1.0,-62.30949
116,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4C(COC)COC4CC)cc32)CCC12COC2,1.0,-54.047813
113,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4CCCS(=O)(=O)C4)cc32)CCC12CO2,1.0,-49.334293
15,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4CCSCC4)cc32)CCN(C(CC)C)CC1,1.0,-48.52063
18,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4C(CO)CN(CCOCCOCCOCCOCCOCCO)CC4)cc32)CCC12OCCO2,1.0,-65.81494
98,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4C(CO)COCC4OC4C(O)COC4)cc32)CCC12OCCO2,1.0,-65.82079
29,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4C(CO)COC4C(C)C)cc32)CCC12COC2,1.0,-53.287567
97,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4C(CO)CNC4)cc32)CCN(C(CC)C)CC1,1.0,-53.392868
33,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4CCS(=O)(CCO)CC4)cc32)CCC1(CO)COC,1.0,-58.537807
96,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4CCCC4)cc32)CCN(C(CC)C)CC1,1.0,-45.000954
79,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4CCS(=O)(CCOC)CC4)cc32)CCC12COC2,1.0,-52.975563
70,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4C(COC)COC4CC4OC4)cc32)CCC12OCCNC2,1.0,-69.04071
69,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4CCS(=O)(N)CC4)cc32)CCC12COC2,1.0,-49.146534
52,C1N(C2CC(c3ccc(C)cc3)c3ccc(OCCCN4S(=O)(=O)CC4C)cc32)CCN(C(C)C)CC1,1.0,-43.173553
115,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCCN4CCC5(CC4)COCCO5)cc32)CCN(C(CC)C)CC1,1.0,-57.112133
121,C1N(C2CC(c3ccc(F)cc3)c3ccc(OCCN4C(CO)COCC4(C)S(C)(CC)=O)cc32)CCC12OCCO2,1.0,-70.77942
60,C1N(C2CC(c3ccc(OC)cc3)c3ccc(OCCN4C(CO)COCC4C)cc32)CCC12COC2,1.0,-51.976402
87,C1N(C2CC(c3ccc(OC)cc3)c3ccc(OCCN4C(CO)COC4)cc32)CCC12COC2,1.0,-46.27186
