Step,Scaffold,SMILES,bioactivity,raw_bioactivity,total_score,ID
99.0,O=c1cc(-c2cccnc2)cnn1-c1ccc2c(c1)C(N1CCCNCC1)CC2c1ccccc1,O=c1cc(-c2cccnc2)cnn1-c1ccc2c(c1)C(N1CCCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_0
38.0,c1ccc(C2CC(N3CCCNCC3)c3cc(-n4nnnc4CC4CCC4)ccc32)cc1,OCCN1CCCN(C2CC(c3ccc(F)cc3)c3ccc(-n4nnnc4CC4CCC4)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_1
37.0,O=S1(=O)CCN(Cc2cn(-c3ccc4c(c3)C(N3CCNCC3)CC4c3ccccc3)nn2)CCN1,O=S1(=O)CCN(Cc2cn(-c3ccc4c(c3)C(N3CCN(CCO)CC3)CC4c3ccc(F)cc3)nn2)CCN1,1.0,1.0,1.0,fine-tune predictive component_2
37.0,c1ccc(C2CC(N3CCCNCC3)c3cc(-n4cc(CN5CCNCC5)nn4)ccc32)cc1,CC1(C)CN(Cc2cn(-c3ccc4c(c3)C(N3CCCN(CCO)CC3)CC4c3ccc(F)cc3)nn2)CCN1,1.0,1.0,1.0,fine-tune predictive component_3
37.0,c1ccc(CCc2nnnn2-c2ccc3c(c2)C(N2CCNCC2)CC3c2ccccc2)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(-n4nnnc4CCc4ccccc4)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_4
79.0,c1ccc(-c2nnc(-c3ccc4c(c3)C(N3CCNCC3)CC4c3ccccc3)s2)cc1,COc1ccc(-c2nnc(-c3ccc4c(c3)C(N3CCN(CCO)CC3)CC4c3ccc(F)cc3)s2)cc1C,1.0,1.0,1.0,fine-tune predictive component_5
37.0,c1ccc(C2CC(N3CCCNCC3)c3cc(-n4nnc(CN5CCNCC5)n4)ccc32)cc1,COCC(C)N1CCN(Cc2nnn(-c3ccc4c(c3)C(N3CCCN(CCO)CC3)CC4c3ccc(F)cc3)n2)CC1,1.0,1.0,1.0,fine-tune predictive component_6
79.0,c1ccc(Sc2ccc3c(c2)C(N2CCNCC2)CC3c2ccccc2)cc1,CNC(=O)c1ccc(Sc2ccc3c(c2)C(N2CCN(CCO)CC2)CC3c2ccc(F)cc2)cc1F,1.0,1.0,1.0,fine-tune predictive component_7
38.0,O=C(NCCCCCCCN1CCN(Cc2cn(-c3ccc4c(c3)C(N3CCCNCC3)CC4c3ccccc3)nn2)CC1)C1OCCO1,CC(CCCCCCNC(=O)C1OCCO1)N1CCN(Cc2cn(-c3ccc4c(c3)C(N3CCCN(CCO)CC3)CC4c3ccc(F)cc3)nn2)CC1,1.0,1.0,1.0,fine-tune predictive component_8
38.0,c1ccc(C2CC(N3CCCNCC3)c3cc(-n4cnnn4)ccc32)cc1,Cc1nnnn1-c1ccc2c(c1)C(N1CCCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_9
