Step,Scaffold,SMILES,bioactivity,raw_bioactivity,total_score,ID
79.0,c1ccc(C2CC(N3CCN(CCCN4CCN(CCN5CCCC5)CC4)CC3)c3ccccc32)cc1,Fc1ccc(C2CC(N3CCN(CCCN4CCN(CCN5CCCC5)CC4)CC3)c3cc(C(F)(F)F)ccc32)cc1,1.0,1.0,1.0,fine-tune predictive component_0
72.0,O=C1NCCCN1CCN1CCN(CN2CCN(C3CC(c4ccccc4)c4ccccc43)CC2)CC1,O=C1N(CCF)CCCN1CCN1CCN(CN2CCN(C3CC(c4ccc(F)cc4)c4ccc(F)cc43)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_1
72.0,c1ccc(C2CC(N3CCN(C4CCCN(CCN5CCC5)CC4)CC3)c3ccccc32)cc1,Fc1ccc(C2CC(N3CCN(C4CCCN(CCN5CC(F)C5)CC4)CC3)c3cc(C(F)(F)F)ccc32)cc1,1.0,1.0,1.0,fine-tune predictive component_2
42.0,O=C1N(CCN2CCCC(N3CCN(C4CC(c5ccccc5)c5ccccc54)CC3)C2)CCN1CC1CCN1,O=C1N(CCN2CCCC(N3CCN(C4CC(c5ccc(F)cc5)c5cc(Cl)ccc54)CC3)C2)CCN1CC1CCN1,1.0,1.0,1.0,fine-tune predictive component_3
72.0,O=C1N(CCN2CCN(C3CC(c4ccccc4)c4ccccc43)CC2)CCN1CCN1CCCC2(CC1)CC2,O=C1N(CCN2CCN(C3CC(c4ccc(F)cc4)c4ccc(C(F)(F)F)cc43)CC2)CCN1CCN1CCCC2(CC1)CC2,1.0,1.0,1.0,fine-tune predictive component_4
42.0,c1ccc(C2CC(N3CCN(C4CCN(C5CC6CNCC6C5)CC4)CC3)c3ccccc32)cc1,CCN1CC2CC(C)(N3CCC(N4CCN(C5CC(c6ccc(F)cc6)c6ccc(Cl)cc65)CC4)CC3)CC2C1,1.0,1.0,1.0,fine-tune predictive component_5
42.0,c1ccc(C2CC(N3CCN(C4CC5(CCN(CCN6CCNCC6)C5)N4)CC3)c3ccccc32)cc1,CN1CCN(CCN2CCC3(CC(N4CCN(C5CC(c6ccc(F)cc6)c6ccc(Cl)cc65)CC4)N3)C2)CC1,1.0,1.0,1.0,fine-tune predictive component_6
90.0,c1ccc(C2CC(N3CCN(CCNCC4CCC(CN5CCCCC5)CC4)CC3)c3ccccc32)cc1,Fc1ccc(C2CC(N3CCN(CCNCC4CCC(CN5CCCCC5)CC4)CC3)c3ccc(Cl)cc32)cc1,1.0,1.0,1.0,fine-tune predictive component_7
42.0,c1ccc(C2CC(N3CCN(C4CCN(C5CC6COC(C6)N5)CC4)CC3)c3ccccc32)cc1,CN1C2CC(CO2)CC1(C)N1CCC(N2CCN(C3CC(c4ccc(F)cc4)c4ccc(Cl)cc43)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_8
72.0,c1ccc(C2CC(N3CCN(CC[SH+]CCN4CCNCC4)CC3)c3ccccc32)cc1,CN1CCN(CC[S+]([O-])CCN2CCN(C3CC(c4ccc(F)cc4)c4ccc(F)cc43)CC2)CC1,1.0,1.0,1.0,fine-tune predictive component_9
