,smiles,score,likelihood
88,C1N(CC2CNC(CCc3ccccc3)CN2)CCN(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)C1,1.0,-42.986183
22,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2NC(CC3CCCN3CCNCC)CC2CC2CCCCC2)C1,1.0,-66.5383
106,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2NNC(CCN3CCN(CCO)CC3)CC2)C1,1.0,-60.4058
8,C1N(CC2N(C3C4CC5CC3CC(C4)C5)CC2)CCN(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)C1,1.0,-43.738403
44,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCNC2C(Oc3ccccc3)CCOC2)C1,1.0,-43.107372
99,N1(CCCNCc2ccccc2)CCN(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CC1,1.0,-36.794216
98,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2CN(CCOC3COC3)CC2CCSC)C1,1.0,-59.271584
15,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCC2N(CC3CCN(CCCc4ccc(F)cc4)CC3)CC2)C1,1.0,-59.972145
97,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2N(CC3N(C4CCC(F)CC4)CCC3)CCC2)C1,1.0,-63.098015
88,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2N(CCN3C(CCCC(O)=NO)CCC3)CC2)C1,1.0,-58.6949
79,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCC2N(CCC3c4ccccc4CCO3)CC2)C1,1.0,-60.23134
122,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2CCN(CC3CNc4ccc(F)cc4C3O)CC2)C1,1.0,-53.145287
27,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCC2N(Cc3noc(C4CC4)n3)CC2)C1,1.0,-51.656906
29,C1N(C2c3ccc(C(F)(F)F)cc3C(c3ccc(F)cc3)C2)CCN(CCC2N(CCCc3ccccc3)CCN2C)C1,1.0,-50.55987
30,N1(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2CN(CC3(OC)COC3)CC2C2CC2)CC1,1.0,-55.77008
66,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCC2N(Cc3cc(C(F)(F)F)ccc3)CC2)C1,1.0,-51.327595
56,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCC2N(CCCc3ccccc3)CC2)C1,1.0,-50.151337
56,C1N(C2c3c(cc(Cl)cc3)C(c3ccc(F)cc3)C2)CCN(CCC2N(CC3CCN(CCC)C3)CCC2)C1,1.0,-51.32765
51,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CC2CN(CC3CCCN3CCO)CC2CCC2CCCCC2)C1,1.0,-55.099
47,C1N(C2c3cc(C(F)(F)F)ccc3C(c3ccc(F)cc3)C2)CCN(CCC2N(Cc3ccc(CN4CCCC4C)cc3)CC2)C1,1.0,-62.235764
