,smiles,score,likelihood
27,c1(OC)c(C(NCC2N(CC)CCC2)=O)c(OC)c(Cl)cc1,0.97077715,-19.423443
22,c1(Cl)ccc(C(NCC2N(CC)CCC2)=O)c(OC)c1OC,0.9678499,-24.475061
10,c1(=O)c(C(=O)NCC2N(CC)CCC2)c(O)ccc(Cl)c1OC,0.9652428,-33.883423
19,c1c(C(NCC2N(CC)CCC2)=O)c(OC)c2c([nH]c(O)c2)c1,0.9624853,-29.598545
53,c1c(=O)c(O)cc(C(NCC2N(CC)CCC2)=O)c(OC)c1,0.9563747,-30.814022
6,c1(C(NCC2N(CC)CCC2)=O)c(OC)n2c(c1)cc(C)cc2,0.95557624,-36.440216
91,Oc1c(C(NCC2N(CC)CCC2)=O)[nH]c(OC)c(OC)c1=O,0.9448618,-31.206135
28,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(s1)ccc(Cl)c2,0.94336456,-30.304962
16,c1cc(C(NCC2N(CC)CCC2)=O)c(OC)c2n1c(Cl)c(Cl)c2,0.940388,-31.082897
44,O(C)c1c(OC)c(OC)cc(C(=O)NCC2N(CC)CCC2)c1OC,0.9393905,-25.4407
36,c1(C(NCC2N(CC)CCC2)=O)c(OC)c2c(snc2)c(Br)c1,0.9393315,-34.362644
111,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(s1)ccc(F)c2,0.9389974,-29.9026
2,c1(=O)c(C(=O)NCC2N(CC)CCC2)c(O)c(CC)c(OC)cc1,0.93876994,-30.798183
1,c1(C(=O)NCC2N(CC)CCC2)c(OC)n2ccnc2cc1,0.9379506,-29.914722
107,c1(C(=O)NCC2N(CC)CCC2)cc(C)c(OC)c(C)c1OC,0.93768674,-33.21691
93,c12cc(C(NCC3N(CC)CCC3)=O)sc1cc(C)cc2OC,0.937415,-27.038542
110,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2cccc(OC)c2o1,0.93521124,-27.528547
101,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2c(cc1)CC(C)N2,0.9346629,-34.165318
10,c1c(C(NCC2N(CC)CCC2)=O)c(OC)c2c([nH]c(=S)s2)c1,0.9334952,-36.215782
39,c1(C(=O)NCC2N(CC)CCC2)c(OC)c2cccc(F)c2nc1,0.9330091,-28.08049
