,smiles,score,likelihood
95,c1cc(OC)c(C(NCC2CCCN2CC)=O)oc1=O,0.93599594,-28.213623
30,c1(OC)coc(C(=O)NCC2CCCN2CC)c(C)c1=O,0.92724997,-28.637085
63,c1(O)c(C(NCC2CCCN2CC)=O)c(OC)c(C)cc1,0.9270393,-22.16362
54,O=S(=O)(N1CCC1)c1cc(C(NCC2N(CC)CCC2)=O)c(OC)cc1,0.9266984,-27.455359
17,o1c(OC)c(Cl)c(C)c(C(NCC2CCCN2CC)=O)c1=O,0.92596763,-27.664413
19,c1c(S(N2CCCC2)(=O)=O)ccc(C(NCC2N(CC)CCC2)=O)c1OC,0.9253115,-32.02497
78,c1(OC)c2c(ccc1)oc(C(=O)NCC1CCCN1CC)c(C)c2=O,0.92509687,-28.626173
26,O=S(=O)(N1CCCC1)c1cc(C(=O)NCC2N(CC)CCC2)c(OC)cc1,0.92471886,-26.049692
21,c1(OC)c(C)oc(C(NCC2CCCN2CC)=O)c(OC)c1=O,0.9246242,-34.93719
9,o1c(=O)sc2cc(C(=O)NCC3CCCN3CC)c(OC)cc12,0.9238216,-32.39634
120,c1c(OC)c2c(c(OC)c1)c(=O)cc(C(=O)NCC1CCCN1CC)o2,0.9236259,-27.020897
74,c1(C)c(C(NCC2CCCN2CC)=O)oc2cc(OC)cc(OC)c2c1=O,0.92307687,-34.204144
107,S(c1cc(C(NCC2N(CC)CCC2)=O)c(OC)cc1)(N1CCCCC1)(=O)=O,0.92301184,-24.7182
31,O(C)c1c(OC)c(C(NCC2CCCN2CC)=O)oc1,0.9228008,-24.497131
105,c1c(OC)c(OC)c(C(NCC2CCCN2CC)=O)oc1=O,0.9227582,-26.249958
34,c1c(S(N2CCCCC2)(=O)=O)ccc(C(NCC2N(CC)CCC2)=O)c1OC,0.9223019,-31.958286
94,c12c(C(=O)NCC3CCCN3CC)c(OC)ccc1occ2,0.92217773,-25.598457
30,c1(O)c(C(NCC2CCCN2CC)=O)c(OC)c(OC)cc1,0.92215115,-21.078796
47,c1(OC)c(C)c(C)c(C(NCC2CCCN2CC)=O)o1,0.9220191,-28.171783
79,c1(C)c(C(NCC2CCCN2CC)=O)oc2cc(C)cc(OC)c2c1=O,0.9219522,-34.324955
