,smiles,score,likelihood
81,N(S(=O)(C)=O)c1cc(C(NCC2CCCN2CC)=O)c(OC)cc1,0.92198217,-24.890621
65,c1(C(NCC2CCCN2CC)=O)ccc(OC)c(S(=O)(N2CCCC2)=O)c1,0.9202947,-23.176975
89,c1c(C(NCC2CCCN2CC)=O)ccc(OC)c1S(=O)(=O)N1CCCCC1,0.91837955,-23.607298
18,c1cc(C)cc(C(NCC2CCCN2CC)=O)c1OC,0.9178276,-21.888094
76,c1(OC)cc(OC)c(C(=O)NCC2CCCN2CC)cc1OC,0.91507,-20.631794
27,c1c(OC)c(OC)c(OC)cc1C(NCC1CCCN1CC)=O,0.9150042,-19.762703
74,c1(OC)cc(OC)c(C(NCC2N(CC)CCC2)=O)c(OC)c1,0.9138852,-19.226576
99,c1ccc2sc(C(NCC3CCCN3CC)=O)c(C)c2c1OC,0.91207194,-27.739683
40,c1c(C(NCC2CCCN2CC)=O)ccc(OC)c1S(=O)(N1CCOCC1)=O,0.9095469,-21.88897
57,c1(OC)oc(C(NCC2CCCN2CC)=O)cc1,0.9073584,-25.396496
96,c1(C(NCC2CCCN2CC)=O)oc2ccc(OC)cc2c1C,0.90695727,-23.607143
76,c1(C)sc(C(NCC2N(CC)CCC2)=O)c(OC)c1,0.9065104,-25.793972
9,c1c(C(NCC2N(CC)CCC2)=O)c(OC)c(CC)cc1,0.9030084,-24.466116
36,c12cc(C(=O)NCC3N(CC)CCC3)c(OC)cc1CCCC2,0.9018503,-24.4693
83,c1(OC)c(OC)ccc(C(NCC2CCCN2CC)=O)c1OC,0.9014029,-21.478828
109,c1(C(=O)NCC2CCCN2CC)c(OC)nc2cc(OC)ccc2c1,0.8975144,-25.699738
96,c1(C(NCC2CCCN2CC)=O)sc(OC)c(Cl)c1C,0.89748925,-29.675266
84,C(C1CCCN1CC)NC(c1c(OC)c(Br)cc(OC)c1O)=O,0.89561707,-24.354877
0,Brc1c(C(NCC2CCCN2CC)=O)oc2ccc(OC)cc12,0.8937961,-26.685635
6,c1(C(NCC2CCCN2CC)=O)cn(CC)c(=O)c2cc(OC)c(OC)cc12,0.8905048,-23.015043
