Step,Scaffold,SMILES,bioactivity,QED,herg,raw_bioactivity,raw_herg,total_score,ID
234.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(OC)c(C)c(OC)c1,1.0,0.875432550907135,0.8767765760421753,1.0,0.12322342395782471,0.9238471388816833,fine-tune predictive component_0
231.0,O=C(NCC1CCCN1)c1ccccc1,CCc1ccc(OC)c(C(=O)NCC2CCCN2CC)c1OC,1.0,0.8384304046630859,0.895655632019043,1.0,0.10434436053037643,0.9237401485443115,fine-tune predictive component_1
156.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(NS(C)(=O)=O)ccc1OC,1.0,0.7692634463310242,0.930612325668335,1.0,0.06938768923282623,0.9219821691513062,fine-tune predictive component_2
223.0,O=C(NCC1CCCN1)c1cccc(S(=O)(=O)N2CCCC2)c1,CCN1CCCC1CNC(=O)c1ccc(OC)c(S(=O)(=O)N2CCCC2)c1,1.0,0.7601485848426819,0.9318972826004028,1.0,0.06810274720191956,0.9202947020530701,fine-tune predictive component_3
218.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(OC)ccc1OC,1.0,0.8700742721557617,0.8682780861854553,1.0,0.13172191381454468,0.9191254377365112,fine-tune predictive component_4
238.0,O=C(NCC1CCCN1)c1cccc(S(=O)(=O)N2CCCCC2)c1,CCN1CCCC1CNC(=O)c1ccc(OC)c(S(=O)(=O)N2CCCCC2)c1,1.0,0.745985209941864,0.9358157515525818,1.0,0.0641842782497406,0.918379545211792,fine-tune predictive component_5
148.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(C)ccc1OC,1.0,0.8963180780410767,0.8524553775787354,1.0,0.14754463732242584,0.9178276062011719,fine-tune predictive component_6
195.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1ccc(OC)cc1OC,1.0,0.8700742721557617,0.864840567111969,1.0,0.1351594626903534,0.9176682233810425,fine-tune predictive component_7
211.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(C(=O)O)ccc1OC,1.0,0.8345137238502502,0.8821291923522949,1.0,0.11787077784538269,0.9172750115394592,fine-tune predictive component_8
203.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(OC)c(OC)cc1Br,1.0,0.8356024026870728,0.8790711164474487,1.0,0.12092886120080948,0.9162406325340271,fine-tune predictive component_9
174.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(OC)c(OC)cc1OC,1.0,0.8310237526893616,0.87867671251297,1.0,0.12132327258586884,0.9150699973106384,fine-tune predictive component_10
180.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1cc(OC)c(OC)c(OC)c1,1.0,0.8310237526893616,0.8785187602043152,1.0,0.12148125469684601,0.9150041937828064,fine-tune predictive component_11
206.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(OC)cccc1OC,1.0,0.8700742721557617,0.8583641648292542,1.0,0.14163585007190704,0.9149132370948792,fine-tune predictive component_12
