,smiles,score,likelihood
77,c1c(OC)c(C(=O)NCC2N(CC)CCC2)c(OC)c(Br)c1,1.0,-19.51366
66,c1cc(C2CC(N3CCN(CCO)CC3)c3c2ccc(Cl)c3)ccc1F,0.919435,-21.460377
68,c1(C2CC(N3CCN(CCO)CC3)c3c2ccc(Br)c3)ccc(F)cc1,0.919435,-25.221468
112,c1(C2CC(N3CCN(CCO)CC3)c3c2ccc(F)c3)ccc(F)cc1,0.919435,-21.701494
100,c1c(OC)c(C(NCC2N(CC)CCC2)=O)c(OC2CNC2)c(F)c1,0.899438,-36.1512
69,c1(C2CC(N3CCN(CCO)CC3)c3ccc(F)cc32)ccc(F)cc1,0.89767766,-20.822863
23,c1c(C2CC(N3CCN(CCO)CC3)c3ccc(Cl)cc32)ccc(F)c1,0.89767766,-20.233637
5,c1(C(NCC2N(CC)CCC2)=O)c(OCC2CC2)c(OC)ccc1,0.8968544,-27.517153
116,c1(C2CC(N3CCN(C)CC3)c3c2ccc(F)c3)ccc(F)cc1,0.8944272,-22.843521
116,c1(C2CC(N3CCN(C)CC3)c3c2ccc(Cl)c3)ccc(F)cc1,0.8944272,-21.53414
1,c1c(C2CC(N3CCN(C)CC3)c3c2ccc(Br)c3)ccc(F)c1,0.8944272,-26.151896
42,c1(C(NCC2N(CC)CCC2)=O)c(OC2CC2)c(OC)ccc1,0.8833005,-29.712784
45,c1(C(NCC2N(CC)CCC2)=O)c(OCC2CCO2)c(OC)ccc1,0.8825799,-34.75033
33,c1(C(NCC2N(CC)CCC2)=O)c(OCC2CCC2)c(OC)ccc1,0.8825799,-31.906445
48,c1(C(NCC2N(CC)CCC2)=O)c(OCC2NCC2)c(OC)ccc1,0.8825799,-33.84261
23,S(c1cc(C(NCC2N(CC)CCC2)=O)c(OC)cc1)(=O)(NCC1CC1)=O,0.8779711,-30.488089
9,c1(C(NCC2N(CC)CCC2)=O)c(OC)c(C)cc(Br)c1OC,0.8760376,-21.321049
120,c1c(C(F)(F)F)ccc(C2CC(N3CCN(CCO)CC3)c3c2ccc(Cl)c3)c1,0.875595,-23.251358
9,c1(C2CC(N3CCN(CCO)CC3)c3c2ccc(Br)c3)ccc(C(F)(F)F)cc1,0.875595,-26.444958
9,c1cc(OCC2SC2)c(OC)c(C(NCC2N(CC)CCC2)=O)c1,0.87518996,-33.53886
