,smiles,score,likelihood
64,c1c(OC)c(C(NCC2CCCN2CC)=O)c(OC)c(Br)c1,1.0,-20.257412
60,c1c(C(NCC2CCCN2CC)=O)c(OC)c(OC)cc1Br,0.9370426,-21.1489
8,c1ccc(OC)c(OC)c1C(NCC1N(CC)CCC1)=O,0.91287094,-20.150814
78,c1c(C2CC(N3CCN(C)CC3)c3c2ccc(Cl)c3)ccc(F)c1,0.8944272,-22.136147
109,c1(C2CC(N3CCN(C)CC3)c3cc(F)ccc32)ccc(F)cc1,0.8944272,-20.3721
15,c1c(C2CC(N3CCN(C)CC3)c3c2ccc(Br)c3)ccc(F)c1,0.8944272,-26.151896
80,c1(C(NCC2N(CC)CCC2)=O)c(OC)c(C)cc(Br)c1OC,0.8760376,-21.321049
126,O(c1c(C(NCC2CCCN2CC)=O)cc(Br)cc1)C,0.86780554,-18.251936
76,C(NCC1CCCN1CC)(=O)c1c(OC)c(OC)cc(Br)c1OC,0.86114633,-22.271248
19,c1(OC)cc(OC)c(C(=O)NCC2N(CC)CCC2)c(OC)c1Br,0.86114633,-23.830963
87,c1(C2CC(N3CCN(C)CC3)c3ccc(F)cc32)ccc(F)cc1,0.8537499,-21.510754
93,c1(C2CC(N3CCN(C)CC3)c3ccc(Cl)cc32)ccc(F)cc1,0.8537499,-20.0231
9,c1cccc(C(=O)NCC2CCCN2CC)c1OC,0.84016806,-20.698282
113,O(C)c1cc(OC)cc(C(NCC2N(CC)CCC2)=O)c1,0.8373467,-20.70296
0,c1c(Cl)ccc(C2CC(N3CCN(C)CC3)c3c2ccc(Cl)c3)c1,0.83666,-22.887539
6,c1(C(NCC2N(CC)CCC2)=O)c(OC)cc(N)c(Cl)c1,0.8331372,-18.452145
88,c1c(OC)c(OC)c(OC)c(C(NCC2N(CC)CCC2)=O)c1,0.8315584,-20.486807
62,O(c1c(OC)cccc1C(=O)NCC1CCCN1CC)C1CCCCC1,0.8262519,-24.428848
18,O(C)c1cc(OC)c(C(=O)NCC2N(CC)CCC2)c(OC)c1,0.8254203,-19.738327
36,c1(OCC)c(O)c(Cl)c(C(NCC2N(CC)CCC2)=O)c(OC)c1,0.82513696,-28.756847
