,smiles,score,likelihood
122,Oc1c(O)ccc(-c2c3c(=O)n(-c4ccccc4)[nH]c3c3c(n2)c(O)ccc3)c1,0.99907213,-34.146267
100,c1cccc2c1C(c1ccc(C(F)(F)F)cc1)=NC(NC(=O)c1cc(Cl)cc(Cl)c1)C(C)=N2,0.99907213,-32.020203
101,N1(C(=O)c2cc(Cl)ccc2-n2nccn2)C(Cc2cc(-c3nccc(C)n3)ccc2)COCC1,0.99907213,-25.524681
116,C(=O)(Cc1cc(F)c(-c2ccccc2)cc1)N1C(C)(C(Nc2cccc(F)c2)=O)CC1,0.9990721,-29.381733
16,c12c(cccc1)N(NC(=O)c1cccc(C)c1)c1c(cc(Cl)cc1)C(N1CCN(C)CC1)=N2,0.9990721,-24.198896
108,C(c1ccc(-c2ccc3c(c2)C(C)(Cc2ccc(C)cc2)C(=O)N3)cc1)N(C)C(=O)C,0.9990721,-31.892382
87,N(C(=O)CN1C(=Cc2c(Cl)nc3c(cccc3C)c2)C(=O)c2ccccc2C1=O)c1ccc(F)cc1F,0.9990721,-34.235413
79,c1c(NC(c2occc2)=O)ccc(-n2nc(C)c(CCC(=O)NCc3ccc(C)cc3)c2C)c1,0.9990721,-28.02874
115,c12ccccc1n(Cc1ccco1)c(=O)n2Cc1nc2c(n1C)cccc2,0.9990721,-28.784668
115,C1N(C(C(=O)c2c[nH]c3c2c(F)ccc3C(=O)Nc2cc(OC)ccc2)=O)CCN(C(c2cnccc2)=O)C1,0.9990721,-34.339157
102,c12ccccc1[nH]c1ccccc1c2=Nc1c(NCCN)ccc(NC(=O)N)c1,0.999072,-30.517345
122,C(c1ccccc1)(c1ccc(N=c2scc(-c3ccccc3)[nH]2)cc1)=O,0.999072,-23.53677
2,c1cc(C(=O)Nc2cccc(NC(c3cc(F)c(F)cc3)=O)c2)ccc1F,0.999072,-24.509846
12,c1c(F)ccc2c1NC(=O)C2(c1ccc(O)cc1)c1ccc(O)cc1,0.99907196,-19.99834
118,c1(CN(C(N=c2[nH]c(-c3ccccc3)c3ccccc3n2)=O)C(=O)C)cscc1,0.99907196,-34.46051
44,NC1=NC(c2ccc(F)cc2)(c2cc(F)c(F)cc2)C(=O)N1Cc1ccccc1CC,0.99907196,-32.1628
35,c12c(sc(NCCCn3cncc3)c1C(Nc1ccc(N(C)C)cc1)=O)cccc2,0.99907196,-29.579111
22,C(N1C2C(CC1)N(C)C(=O)C2)(c1cc2c(cc1)-c1nc(-c3c(N(C)S(=O)(C)=O)cc4oc(-c5ccc(F)cc5)c(C(NC)=O)c4c3)ccc1OC2)=O,0.99907196,-40.702003
93,N1(c2cc(C(=O)Nc3cc(C)c(F)cc3)ccc2)C(=O)c2c(cccc2)C1=O,0.9990719,-24.628284
72,c1cc(C#N)ccc1S(Nc1c(Oc2ccccc2)ccc(Cl)c1)(=O)=O,0.9990719,-24.41892
