,smiles,score,likelihood
32,N(c1ccccc1)C(Nc1ccc2n(Cc3c4c(-c5c(C)noc5C)cccc4oc3C)c(C)nc2c1)=O,0.99907213,-45.80611
88,n1cc(-c2ccc(F)cc2)n2c1ccc(=NCCCN1CCC(c3cc(NC(=O)C)ccc3)CC1)[nH]2,0.99907213,-31.678005
69,C(Oc1c(-c2c(OC3CCN(c4nc5c(cccc5)s4)CC3)cccc2)nccc1)(=O)C,0.99907213,-40.505745
120,C12C(c3c(cccc3)C(c3ccc4c(c3)CC(C(=O)O)C4)N1c1c(Br)cccc1)C2(C)C,0.9990721,-47.521698
100,O(C(c1cnc2[nH]c(=NCC(C)C)[nH]c(=Nc3ccc(Oc4ccccc4)cc3)c2c1)=O)CC,0.9990721,-35.42387
120,c1(C(c2ccc(F)cc2)C2C(=O)CCN(Cc3c(OC)cccc3OC)C2)ccc(F)cc1,0.9990721,-21.989346
99,n1c(N2CC(O)CC2)nc2c(c1-c1ccc(NC(=O)Nc3ccc(N4CCOCC4)cc3)cc1)cc(OC)c(OCCCN1CCCC1)c2,0.9990721,-34.419792
81,N1C(=O)C(=Cc2cccn2Cc2ccc(C)cc2)c2ccccc21,0.9990721,-24.353937
92,O=[N+]([O-])c1c(Cl)ccc(C(=O)Nc2ccc(Oc3ccc(NC4=NCCN4)cc3)cc2)c1,0.9990721,-29.202621
16,CCCn1cc(-c2cn(C(C#N)CCc3cccc(F)c3)nc2)c2ccccc12,0.9990721,-42.490444
72,c1ccccc1-c1ccc(C2(O)C(NC)COc3c2cc2c(c3)OCCO2)cc1,0.999072,-39.515327
13,C1N(c2ccc([N+]([O-])=O)cc2C(N)=O)CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)C1,0.999072,-24.802193
63,C1(c2ccccc2)=NN(C(=O)c2ccc(Br)cc2)C(c2cccc([N+](=O)[O-])c2)C1,0.999072,-24.191608
120,C(COc1ccc(C(=O)Nc2c(O)ccc(-c3ccccc3)c2)cc1C(=O)O)CC1C2CCC(C1)C2,0.999072,-40.22608
72,c1ccccc1-c1nn(CC(O)=O)cc1-c1ccc(-c2ccccc2)cc1,0.999072,-23.520964
89,FC(F)(Oc1ccc(NC(c2cc(-c3cnc(N(C)C)cc3)ccc2)=O)cc1)F,0.99907196,-25.975973
107,C(C(Nc1c(N)cccc1)=O)(C)c1ccc(Cc2c(C)ccc(C)c2)cc1,0.99907196,-31.317162
77,c1c2c(ccc1C(=O)Nc1ccc(OC)cc1)C(=O)N(c1cc(OC)ccc1)C2=O,0.9990719,-24.058037
50,c1(N2CCN(c3ccc(NC(=O)c4c(OC)cccc4)cc3)CC2)ccc(Cl)c(Cl)c1,0.9990719,-25.704887
114,c1cc(N=c2[nH]cnc3n(-c4ccccc4)ncc23)ccc1O,0.9990719,-19.624968
