,smiles,score,likelihood
20,c1cc(-c2ccc(-c3ncccc3)cc2)nc(-c2ccc(CN3CC(C(=O)O)C3)cc2)n1,0.99907213,-26.92384
40,c1cc(NC(c2ccc(Oc3ccccc3)cc2)=O)c(C(Nc2cccc(Cl)c2)=O)cc1,0.99907213,-26.62464
112,c1(N2CCN(c3ccccc3)CC2)c2ccccc2nc(C=Cc2ccc(F)cc2)n1,0.99907213,-25.89498
1,c1(-c2cccc(C)c2)cccc(C=Cc2cccc3ccccc23)c1,0.99907213,-29.470747
91,c1cccc2c1n(Cc1ccc(-c3csnc3-c3oc(-c4ccccc4)c(-c4ccccc4)n3)cc1)cc2,0.99907213,-38.630028
68,n1cc(C(C(c2cccc(-c3ccc(F)cc3OC)c2)Cc2ccc(C#N)cc2)NC(=O)C)ccc1,0.99907213,-43.194664
105,c1ccccc1-n1cccc1-c1cc(-c2ccccc2)nc2ccccc21,0.99907213,-27.756905
61,C(=O)(Nc1c(OCc2ccccc2Br)c(Br)ccc1)c1cc2ccccc2cc1,0.99907213,-36.47339
31,c12c(ccc(NC(c3ncccc3)=O)c1)-c1c(cccc1)C2=O,0.99907213,-22.625721
26,c1ccccc1-n1nc(-c2ccc(F)cc2)c(-c2n(-c3ccccc3)ncc2-c2ccc(-c3sccc3)cc2)c1,0.99907213,-31.103563
84,c1c(C)cccc1-c1ccc(-n2cc(-c3ccc(N)cc3)c3c(=N)[nH]cnc23)cc1,0.9990721,-33.555252
69,c1c(C(Nc2cccc(-c3ccc4c(scn4)c3)c2)=O)ccc(-c2ccc(-c3nnc(C(NCCC(C)C)=N)o3)cc2)c1,0.9990721,-45.2237
62,c1(N(c2ccccc2)c2cccc(NS(c3ccc(N)cc3)(=O)=O)c2)nc(-c2ccc(C)cc2)cs1,0.9990721,-31.381634
115,c1ccc(-c2ccc(NS(c3cccc(Cl)c3)(=O)=O)cc2)cc1-c1ccccc1,0.9990721,-28.46949
53,c1(C)cc(O)ccc1-c1cc2n(c(-c3cc(NC(=O)Nc4cccc(C(F)(F)F)c4)ccc3)cn2)cc1,0.9990721,-32.78923
94,c1ccccc1C(c1ccccc1)C(=O)Nc1ccc(-c2ccc(NC(c3ccc(OC)cc3)=O)cc2)cc1,0.9990721,-27.92839
23,c1cccc(-c2ccc(C(Nc3ccc(Cc4nc5c(ccc([N+]([O-])=O)c5)n4C(C)=O)cc3)=O)cc2)c1-c1n[nH]nn1,0.9990721,-43.959595
114,O=S(NCc1ccc(C(=O)Nc2cccc(NC(=O)c3ccccn3)c2)cc1)(c1c(Cl)ccc(Cl)c1)=O,0.9990721,-37.263443
100,n1ccccc1-c1n(-c2ccc(-c3ccc(-c4cscc4)cc3)cc2OC)c(C#N)cc1,0.9990721,-39.784233
107,N(C(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)c1ccc(-c2cnccc2)cc1,0.9990721,-25.417412
