Step,Scaffold,SMILES,logp,raw_logp,total_score,ID
31.0,c1ccc(COc2cccc3[nH]c(-c4ccc(OCCN5CCOCC5)cc4)nc23)cc1,c1ccc(COc2cccc3[nH]c(-c4ccc(OCCN5CCOCC5)cc4)nc23)cc1,0.9990721344947815,3.000060558319092,0.9990721344947815,fine-tune predictive component_0
71.0,O=C(Oc1cccc(-c2nc(=NCc3ccccc3)c3ccccc3[nH]2)c1)c1ccccc1,Nc1ccc(OC(=O)c2ccccc2)cc1-c1nc(=NCc2ccccc2)c2ccccc2[nH]1,0.9990721344947815,2.999898910522461,0.9990721344947815,fine-tune predictive component_1
4.0,O=S(=O)(Nc1cscn1)c1ccc(Oc2cccc3nc(-c4ccccc4)ccc23)cc1,N#Cc1cc(S(=O)(=O)Nc2cscn2)ccc1Oc1cccc2nc(-c3ccccc3)ccc12,0.9990721344947815,3.000325918197632,0.9990721344947815,fine-tune predictive component_2
91.0,O=C(CNc1ccccc1)Nc1cccc2ccccc12,O=C(Nc1ccc(Br)c2ccccc12)C(Nc1ccccc1)(C(F)(F)F)C(F)(F)Cl,0.9990721344947815,2.999680280685425,0.9990721344947815,fine-tune predictive component_3
3.0,O=S(=O)(c1ccccc1)n1cc(CCNCCc2ccccc2)c2ccccc21,CCc1ccccc1S(=O)(=O)n1cc(CCNCCc2ccccc2)c2ccccc21,0.9990721344947815,2.9995858669281006,0.9990721344947815,fine-tune predictive component_4
1.0,O=C(CNc1cccc(-c2ccccc2)c1)Nc1ccccc1,O=C(CNc1cccc(-c2ccccc2)c1)Nc1ccccc1,0.9990721344947815,2.9995803833007812,0.9990721344947815,fine-tune predictive component_5
39.0,c1ccc(Nc2ccccc2Nc2ccc3cocc3c2)cc1,COc1ccccc1Nc1ccccc1Nc1ccc2c(O)occ2c1C,0.9990721344947815,2.999635696411133,0.9990721344947815,fine-tune predictive component_6
96.0,S=C(NCc1ccccc1)NC(Cc1ccccc1)c1ccccc1,CC(C)(NC(=S)NC(Cc1ccccc1)c1ccccc1)c1ccccc1,0.9990721344947815,3.000384569168091,0.9990721344947815,fine-tune predictive component_7
54.0,O=C(CC(Cc1ccccc1)NC(=O)CCc1ccccc1)NC(CNCc1ccccc1)Cc1ccccc1,CNC(C(=O)NC(Cc1ccccc1)C(O)C(=O)NC(Cc1ccccc1)C(O)NCc1ccccc1)C(C)(C)c1ccccc1,0.9990720748901367,3.001128673553467,0.9990720748901367,fine-tune predictive component_8
91.0,c1ccc(CCNC(Cc2ccccc2)c2ccccc2)cc1,OC(CNC(Cc1ccccc1)c1ccccc1)c1ccccc1,0.9990720748901367,3.0009968280792236,0.9990720748901367,fine-tune predictive component_9
40.0,O=C(Oc1ccccc1)c1ccc(-c2cnc3ccccc3c2)s1,Cc1nc2ccccc2cc1-c1ccc(C(=O)Oc2ccccc2)s1,0.9990720748901367,2.998539924621582,0.9990720748901367,fine-tune predictive component_10
59.0,c1ccc(-c2cccn2Cc2nccc3ccccc23)cc1,O=C(O)CCc1ccc(-c2ccc(Br)cc2)n1Cc1nccc2ccccc12,0.9990720748901367,3.0006871223449707,0.9990720748901367,fine-tune predictive component_11
75.0,O=S(=O)(c1ccccc1)N(c1ccccc1)c1ccc2ccccc2c1,O=S(=O)(c1ccccc1)N(c1ccccc1)c1ccc2ccccc2c1,0.9990720748901367,3.0014805793762207,0.9990720748901367,fine-tune predictive component_12
31.0,O=C1NC(Cc2ccccc2)(c2cc3ccccc3[nH]2)CN1c1ccccn1,O=C1NC(Cc2ccccc2)(c2cc3ccccc3[nH]2)CN1c1ccccn1,0.9990720748901367,3.00069260597229,0.9990720748901367,fine-tune predictive component_13
31.0,O=C1c2ccccc2-c2c1c(-c1ccccc1)c1ccccn21,O=C1c2ccccc2-c2c1c(-c1ccccc1)c1ccccn21,0.9990720748901367,2.9992868900299072,0.9990720748901367,fine-tune predictive component_14
92.0,O=C(Nc1ccccc1-c1cnc2ccccc2n1)c1ccccc1,O=C(Nc1ccccc1-c1cnc2ccccc2n1)c1ccccc1C(F)(F)F,0.9990720748901367,3.000885009765625,0.9990720748901367,fine-tune predictive component_15
87.0,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccc1,O=C(Nc1ccc(Oc2ccccc2)cc1)c1cc(Br)ccc1F,0.9990720748901367,3.000727653503418,0.9990720748901367,fine-tune predictive component_16
62.0,c1ccc(Oc2c3ccccc3nn2-c2ccccc2)cc1,O=[N+]([O-])c1ccc2nn(-c3ccccc3)c(Oc3ccccc3)c2c1,0.9990720748901367,3.0015268325805664,0.9990720748901367,fine-tune predictive component_17
